bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"28.61702150691792,62.41325767562125,28.66326388551124,62.44091850801988",uuuu,85633143,,935f61ce2763cd4cde38d3b9dab94da4,,3a133dac93a9c36e467d871b99bc464d,62.425792,28.638360,101814043,uuuu,FI,FI,1470852492,62.422804,28.638360,101814043,Heinävesi,85683109,101/814/043/101814043.geojson,locality,85683109,quattroshapes,,,FI
"27.41785307715759,62.37477071961916,27.44263888007237,62.38393092744485",uuuu,85633143,,83ccdb8262f84f7a6f080ea131869507,,ba5690a737a1e08320b0a7b1e4386351,62.379690,27.430948,101814045,uuuu,FI,FI,1470852491,62.379715,27.430948,101814045,Jäppilä,85683109,101/814/045/101814045.geojson,locality,85683109,quattroshapes,,,FI
"29.19343815159175,62.16307065770638,29.2207269093816,62.18913830030255",uuuu,85633143,,4e39368c500efae51219f24e3f866088,,45ff5af287f89b9362a23a3c6f4ba290,62.175000,29.203949,101814047,uuuu,FI,FI,1477508557,62.172141,29.204879,101814047,Savonranta,85683109,101/814/047/101814047.geojson,locality,85683109,quattroshapes,,,FI
"27.45336864034482,62.12754267889255,27.47239884062179,62.14341159910441",uuuu,85633143,,a0d70c8ca170c956cec120157e221d2f,,17194d0a553b884678caa7e2de452868,62.134246,27.463612,101814049,uuuu,FI,FI,1470852491,62.133230,27.462963,101814049,Virtasalmi,85683109,101/814/049/101814049.geojson,locality,85683109,quattroshapes,,,FI
"28.28293468271306,62.05168714850578,28.3293026901307,62.07656126531953",uuuu,85633143,,025e7e3d56595f77e61131031c614285,,ef99e019bf18e883791cc1d031c9f84d,62.064944,28.308425,101814051,uuuu,FI,FI,1470852469,62.063429,28.304210,101814051,Rantasalmi,85683109,101/814/051/101814051.geojson,locality,85683109,quattroshapes,,,FI
"27.19062272323436,61.99681744358071,27.2230124531975,62.03007707628819",uuuu,85633143,,0b215f1771a1370f92400012aaaebee5,,95a90058fca7f2c8703fdf539ea41e50,62.015859,27.206508,101814053,uuuu,FI,FI,1470852460,62.017244,27.205404,101814053,Haukivuori,85683109,101/814/053/101814053.geojson,locality,85683109,quattroshapes,,,FI
"26.61755200531326,61.97162573744555,26.66650200825779,62.01143949906407",uuuu,85633143,,ad3b5f269a5c61ebe85fb93530d27779,,dd00bad2d06353ec9433bf87ebcff000,61.990929,26.641360,101814055,uuuu,FI,FI,1470852461,61.988077,26.637652,101814055,Kangasniemi,85683109,101/814/055/101814055.geojson,locality,85683109,quattroshapes,,,FI
"29.25427986807159,61.89933204303406,29.30580474823921,61.92797860755456",uuuu,85633143,,202b0bc882e7b240b8f51b98e49107f1,,66d4566dd397c7832b93a63936bc4927,61.913877,29.279844,101814059,uuuu,FI,FI,1470852468,61.916919,29.280235,101814059,Kerimäki,85683109,101/814/059/101814059.geojson,locality,85683109,quattroshapes,,,FI
"27.82015828813167,61.8893689173695,27.89280409883639,61.9114180292537",uuuu,85633143,,0581531c2157cbe3a9a0e047a4a7636c,,52ecc3b43ed1d612d70fa9e39664f9e8,61.899009,27.859059,101814061,uuuu,FI,FI,1470852459,61.899623,27.856583,101814061,Juva,85683109,101/814/061/101814061.geojson,locality,85683109,quattroshapes,,,FI
"28.76774490767201,61.84009634932158,28.98374923370096,61.8963960016651",uuuu,85633143,,66c2c0cd58f00ad51edee9fb84fa37f7,,ebdc7ba99ae23fc62b45faa00f9752fb,61.869578,28.894297,101814063,uuuu,FI,FI,1470852467,61.866130,28.928155,101814063,Savonlinna,85683109,101/814/063/101814063.geojson,locality,85683109,quattroshapes,,,FI
