bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"19.797854638904084,60.22989157979169,20.5640371885705,60.76200235680307",uuuu,0,,5ec3153fd2b4929f6f841769b5991df9,,a3fbece396a74369ed869ed43ad61d8a,60.521499,20.099652,907198535,uuuu,FI,FI,1470851994,60.563327,20.095630,0,Saltvik,-1,907/198/535/907198535.geojson,localadmin,0,,,,FI
"23.97132673000571,60.4703991716809,24.46490446931713,60.64452157466437",uuuu,85633143,,189b31abeefd530a6b6b3f863cf1b368,,df146310f0b75857e79c2d834f9de54b,60.556943,24.238146,907198539,uuuu,FI,FI,1481176827,60.554938,24.196961,0,Karkkila,85683067,907/198/539/907198539.geojson,localadmin,85683067,figov,,,FI
"25.41427222916766,60.46991109534243,25.82322708236016,60.61413352794801",uuuu,85633143,,3a2dcbacb6ed216d732b5aa5f7359830,,02c0b22da5852d10a2ae40fe881cf7d4,60.542451,25.614210,907198543,uuuu,FI,FI,1481176827,60.541697,25.618151,0,Askola,85683067,907/198/543/907198543.geojson,localadmin,85683067,figov,,,FI
"25.20408206302462,60.40074052162127,25.5101962473581,60.55430049390508",uuuu,85633143,,2d4f2f5be34b43af6b9906750037e9af,,77ea467d888ce21a1832ef629b767e1b,60.482344,25.359441,907198545,uuuu,FI,FI,1481176827,60.484602,25.369810,0,Pornainen,85683067,907/198/545/907198545.geojson,localadmin,85683067,figov,,,FI
"23.15461536880288,60.46732628777333,23.92054910951664,60.77416824648042",uuuu,85633143,,48324d498109e38579ad8581d8b1b6a0,,f806934255b8aab048d8a0db37dfd2b8,60.614450,23.555172,907198549,uuuu,FI,FI,1481176827,60.591081,23.613235,0,Somero,85683073,907/198/549/907198549.geojson,localadmin,85683073,figov,,,FI
"20.20180344182422,60.123932930276204,21.151341113507698,60.87663669237715",uuuu,0,,069b5381018bcbedf14d7bca1ec64620,,5a1f2d9de8aad231884bbe99c0093767,60.556446,20.770643,907198555,uuuu,FI,FI,1470851998,60.556615,20.896459,0,Brando,-1,907/198/555/907198555.geojson,localadmin,0,,,,FI
"25.04534326549816,60.50163108384058,25.52542315125546,60.84085119154255",uuuu,85633143,,f48ecc9389dad9d4c7d1ffe4a00e53cc,,434565185fde3a3ec6e19792ef8b093f,60.661042,25.279125,907198557,uuuu,FI,FI,1481176827,60.649391,25.298499,0,Mantsala,85683067,907/198/557/907198557.geojson,localadmin,85683067,figov,,,FI
"24.71331012540546,60.65930138843945,25.19306658844222,60.92783859652126",uuuu,85633143,,15afaa80e700b0af817f0b55131768ea,,dbc82b86c9413c3c215c50f8c3f0d05a,60.782189,24.960681,907198561,uuuu,FI,FI,1481176827,60.765918,24.977088,0,Hausjarvi,85683077,907/198/561/907198561.geojson,localadmin,85683077,figov,,,FI
"25.07857192923262,60.75195515889547,25.44960674451773,60.98167685849283",uuuu,85633143,,06b5ec65a9fffbf762750ce297113950,,eb7c349bf77cfc19fc97535097ed2270,60.857873,25.268141,907198567,uuuu,FI,FI,1481176827,60.855295,25.270952,0,Karkola,85683091,907/198/567/907198567.geojson,localadmin,85683091,figov,,,FI
"24.0467482465181,60.55249148031296,24.69094982929412,60.82034961028557",uuuu,85633143,,9df6a15c4e16830ced2e0f20da8e2d6a,,15ac6a7858630073d6fa727ffa9584a9,60.691121,24.338978,907198573,uuuu,FI,FI,1481176828,60.691361,24.300778,0,Loppi,85683077,907/198/573/907198573.geojson,localadmin,85683077,figov,,,FI
